Teste-or-4-sigma-0.59-g-3: 0.750573 , interval: 0.010256
Teste-or-4-sigma-0.59-g-4: 0.755815 , interval: 0.010650
Teste-or-4-sigma-0.59-g-5: 0.761420 , interval: 0.010407
Teste-or-4-sigma-0.59-g-6: 0.760572 , interval: 0.010628
Teste-or-4-sigma-0.59-g-7: 0.757962 , interval: 0.010722
Teste-or-4-sigma-0.59-g-8: 0.757593 , interval: 0.010672
Teste-or-4-sigma-0.59-g-9: 0.757908 , interval: 0.010641
Teste-or-4-sigma-0.59-g-10: 0.754139 , interval: 0.010179
Teste-or-4-sigma-0.59-g-11: 0.751857 , interval: 0.010307

Teste-or-4-sigma-0.59-alpha-0.1: 0.772802 , interval: 0.011279
Teste-or-4-sigma-0.59-alpha-0.2: 0.770490 , interval: 0.010394
Teste-or-4-sigma-0.59-alpha-0.3: 0.770689 , interval: 0.010220
Teste-or-4-sigma-0.59-alpha-0.4: 0.762645 , interval: 0.010617
Teste-or-4-sigma-0.59-alpha-0.5: 0.761420 , interval: 0.010407
Teste-or-4-sigma-0.59-alpha-0.6: 0.754393 , interval: 0.010292
Teste-or-4-sigma-0.59-alpha-0.7: 0.738429 , interval: 0.010557
Teste-or-4-sigma-0.59-alpha-0.8: 0.722534 , interval: 0.011084
Teste-or-4-sigma-0.59-alpha-0.9: 0.700649 , interval: 0.011275

Teste-or-4-sigma-0.59-beta-0.1: 0.016471 , interval: 0.002912
Teste-or-4-sigma-0.59-beta-0.2: 0.236463 , interval: 0.009383
Teste-or-4-sigma-0.59-beta-0.3: 0.653383 , interval: 0.011302
Teste-or-4-sigma-0.59-beta-0.4: 0.761457 , interval: 0.011492
Teste-or-4-sigma-0.59-beta-0.5: 0.772802 , interval: 0.011279
Teste-or-4-sigma-0.59-beta-0.6: 0.774531 , interval: 0.010929
Teste-or-4-sigma-0.59-beta-0.7: 0.776215 , interval: 0.011369
Teste-or-4-sigma-0.59-beta-0.8: 0.775845 , interval: 0.011155
Teste-or-4-sigma-0.59-beta-0.9: 0.776140 , interval: 0.011113
